id,post,reply,comment,time_comment
ZmVlZGJhY2s6Mjg5NzQwNjEwNzE3NjU5OQ==,Raptors on Super Heavy,116.0,What Bill said 😍,2021-08-02
ZmVlZGJhY2s6Mjg5NzQwNjEwNzE3NjU5OQ==,Raptors on Super Heavy,116.0,Bill Lattimer be like Bill 🤣🤣🤣,2021-08-02
ZmVlZGJhY2s6Mjg5NzQwNjEwNzE3NjU5OQ==,Raptors on Super Heavy,116.0,Alex Wright Do you know something that we don t An infinite fuel tank perhaps,2021-08-02
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Todd Grzywacz Different ships for different purposes,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,,2021-07-22
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,SpaceX is setting the standard love the innovation Keep up the great work,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Love how SpaceX never stops refining what they have and pushing themselves to do more,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Soooo cool Better than those other two guys seeking only ten minutes of space time,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,How come the four crew members were on board when it moved autonomously,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Branson takes his space plane up past the karman line Bezos takes the youngest and oldest astronauts on a rollercoaster ride to space Musk automatically moves and docks his ship,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,JD gets it done,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Me da mucho gusto,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Ok,2021-07-24
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Real Space brought to you by SpaceX,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Elon had Deep Space figured out years ago His new Gateway contract proves it,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Wll done guys,2021-07-21
ZmVlZGJhY2s6Mjg4ODk4MjAxNDY4NTY3NQ==,Dragon has autonomously re docked with the Space Station,39.0,Great message,2021-08-07
