id,post,reply,comment,time_comment,sentiment_results,sentiment,confidence,score,entity_post,entity_comment
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congrats Jeff and Blue Origin team,2021-07-23,"{'sentiment': '4 stars', 'confidence': 0.30534952878952026, 'score': 4}",4 stars,0.30534952878952026,4,"Team Blue,ORG","Blue Origin,ORG|Congrats Jeff,PERSON"
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Together Team Blue I together are strong,2021-07-23,"{'sentiment': '5 stars', 'confidence': 0.6445999145507812, 'score': 5}",5 stars,0.6445999145507812,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Amazing Excited and happy for everyone one Congratulations,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.9061111211776733, 'score': 5}",5 stars,0.9061111211776733,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Memorable and monumental Great job Blue Origin,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.8614542484283447, 'score': 5}",5 stars,0.8614542484283447,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Massive fail Laughing stock of the world,2021-07-22,"{'sentiment': '1 star', 'confidence': 0.8462132811546326, 'score': 1}",1 star,0.8462132811546326,1,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congrats Now pull your finger out and construct and launch New Glen,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.6506432890892029, 'score': 5}",5 stars,0.6506432890892029,5,"Team Blue,ORG","New Glen,GPE"
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Utmost Respect Gratification Appreciation Thank You,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.8459768295288086, 'score': 5}",5 stars,0.8459768295288086,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Congratulation Blue origin,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.33418548107147217, 'score': 5}",5 stars,0.33418548107147217,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Super High Liquidity Product Service Ability to attract funds Great for Investment Attraction likewise Campaign Support Security,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.6859331130981445, 'score': 5}",5 stars,0.6859331130981445,5,"Team Blue,ORG","Super High Liquidity Product Service Ability,ORG|Great for Investment Attraction,ORG"
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,We went with you in spirit My goosebumps have yet to leave me,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.7098841071128845, 'score': 5}",5 stars,0.7098841071128845,5,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,A Cofounder subsequently Qualifies me as an Agent Responsible Promoter Marketer Associate Planner Investor Stakeholder etc,2021-07-22,"{'sentiment': '4 stars', 'confidence': 0.2912977635860443, 'score': 4}",4 stars,0.2912977635860443,4,"Team Blue,ORG",
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Great Day Dearest Blue Origin I m the Genuine US SpaceForce Cofounder Initiator Originator,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.7981598973274231, 'score': 5}",5 stars,0.7981598973274231,5,"Team Blue,ORG","US,GPE"
ZmVlZGJhY2s6OTE0NzEzODM5MDgwODkw,Thank you to Team Blue for making this a special week,275.0,Spectacular Congratulations to the team for your brilliance and skills 🇺🇸,2021-07-22,"{'sentiment': '5 stars', 'confidence': 0.8965338468551636, 'score': 5}",5 stars,0.8965338468551636,5,"Team Blue,ORG",
